id,loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
225,33,9,1,6,96,484.26,0.1,10,48.43,4842.62,0.16,269.03,33,5,0,13,11,22,56,40,17,FALSE
226,46,8,1,5,176,1022.09,0.04,24.91,41.03,25462.18,0.34,1414.57,45,7,1,23,22,34,99,77,11,FALSE
227,18,6,1,4,75,360.55,0.11,8.89,40.56,3204.9,0.12,178.05,15,5,3,3,10,18,43,32,11,FALSE
228,45,5,1,3,128,736.63,0.07,14.66,50.26,10796.83,0.25,599.82,36,0,9,1,19,35,74,54,13,FALSE
229,19,2,1,1,118,636.29,0.06,16.62,38.3,10572.26,0.21,587.35,16,16,3,17,16,26,64,54,3,FALSE
230,8,1,1,1,33,142.62,0.21,4.67,30.56,665.58,0.05,36.98,8,12,0,8,8,12,19,14,1,FALSE
231,5,1,1,1,13,43.19,0.27,3.75,11.52,161.94,0.01,9,4,1,1,2,6,4,8,5,1,FALSE
232,11,1,1,1,41,190.4,0.14,6.92,27.5,1318.14,0.06,73.23,11,18,0,11,12,13,26,15,1,FALSE
233,8,1,1,1,33,142.62,0.21,4.67,30.56,665.58,0.05,36.98,8,12,0,8,8,12,19,14,1,FALSE
234,5,1,1,1,13,43.19,0.27,3.75,11.52,161.94,0.01,9,4,1,1,2,6,4,8,5,1,FALSE
235,16,1,1,1,54,244.27,0.11,9.17,26.65,2239.16,0.08,124.4,16,15,0,12,11,12,34,20,1,FALSE
236,19,3,1,2,161,899.18,0.06,15.45,58.18,13896.4,0.3,772.02,19,13,0,12,15,33,93,68,5,FALSE
237,27,3,1,3,110,554.88,0.08,12.29,45.16,6817.14,0.18,378.73,27,1,0,4,12,21,67,43,5,FALSE
238,10,1,1,1,37,148,0.14,7,21.14,1036,0.05,57.56,9,2,1,3,8,8,23,14,1,FALSE
239,7,2,1,2,40,175.69,0.16,6.38,27.56,1120.04,0.06,62.22,7,3,0,1,9,12,23,17,3,FALSE
240,17,4,1,3,63,284.98,0.09,11.15,25.55,3178.67,0.09,176.59,17,0,0,0,10,13,34,29,7,FALSE
241,8,1,1,1,51,216.64,0.22,4.46,48.53,967.16,0.07,53.73,8,0,0,0,5,14,26,25,1,FALSE
242,21,8,4,2,83,411.2,0.04,26.13,15.74,10742.56,0.14,596.81,20,1,1,4,19,12,50,33,15,FALSE
243,13,3,3,3,53,249.12,0.08,12.83,19.41,3197.08,0.08,177.62,13,0,0,1,14,12,31,22,5,FALSE
244,27,8,4,6,105,579.97,0.06,16.8,34.52,9743.56,0.19,541.31,25,0,2,9,21,25,65,40,12,FALSE
245,14,1,1,1,99,499.4,0.08,12.86,38.84,6420.79,0.17,356.71,14,10,0,22,12,21,54,45,1,FALSE
246,14,5,1,2,66,317.29,0.05,20,15.86,6345.71,0.11,352.54,12,4,2,6,16,12,36,30,9,FALSE
247,28,3,1,2,123,667.43,0.11,8.79,75.95,5865.3,0.22,325.85,27,9,1,14,10,33,65,58,5,FALSE
248,25,6,5,3,93,494.94,0.09,11.31,43.77,5596.62,0.16,310.92,18,1,7,2,14,26,51,42,11,FALSE
249,19,5,1,2,91,437.47,0.04,24.81,17.63,10852.6,0.15,602.92,16,1,3,5,15,13,48,43,9,FALSE
250,7,1,1,1,28,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7,10,16,12,1,FALSE
251,6,1,1,1,17,56.47,0.19,5.25,10.76,296.48,0.02,16.47,4,0,2,2,6,4,10,7,1,FALSE
252,9,1,1,1,31,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9,13,0,9,10,9,20,11,1,FALSE
253,7,1,1,1,28,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7,10,16,12,1,FALSE
254,6,1,1,1,17,56.47,0.19,5.25,10.76,296.48,0.02,16.47,4,0,2,2,6,4,10,7,1,FALSE
255,7,1,1,1,29,120.93,0.16,6.25,19.35,755.8,0.04,41.99,7,12,0,12,10,8,19,10,1,FALSE
256,32,9,1,7,98,498.57,0.1,9.8,50.85,4888.17,0.17,271.56,32,4,0,13,11,23,57,41,17,FALSE
257,32,7,1,3,120,642.91,0.06,16.96,37.91,10903.69,0.21,605.76,32,8,0,19,16,25,67,53,13,FALSE
258,64,8,4,2,275,1662.21,0.02,40.3,41.25,66987,0.55,3721.5,62,35,2,19,26,40,151,124,15,FALSE
259,7,2,1,2,16,57.36,0.33,3,19.12,172.08,0.02,9.56,7,0,0,2,6,6,10,6,3,FALSE
260,4,2,1,2,13,44.97,0.19,5.25,8.57,236.11,0.01,13.12,4,0,0,0,7,4,7,6,3,FALSE
261,5,1,1,1,13,43.19,0.17,5.83,7.4,251.91,0.01,14,5,1,0,0,7,3,8,5,1,FALSE
262,10,2,1,2,54,247.59,0.15,6.5,38.09,1609.32,0.08,89.41,10,0,0,1,8,16,28,26,3,FALSE
263,10,4,1,1,48,200.16,0.04,23.4,8.55,4683.66,0.07,260.2,10,0,0,1,13,5,30,18,7,FALSE
264,13,7,4,7,91,450.83,0.03,30.08,14.99,13562.53,0.15,753.47,13,0,0,2,19,12,53,38,13,FALSE
265,8,4,1,4,28,106.61,0.22,4.5,23.69,479.73,0.04,26.65,5,5,3,6,6,8,16,12,7,FALSE
266,18,5,3,2,72,356.7,0.07,13.59,26.25,4846.95,0.12,269.28,14,6,4,10,14,17,39,33,9,FALSE
267,5,1,1,1,12,38.04,0.32,3.12,12.17,118.87,0.01,6.6,5,1,0,2,5,4,7,5,1,FALSE
268,5,1,1,1,12,38.04,0.32,3.12,12.17,118.87,0.01,6.6,5,1,0,2,5,4,7,5,1,FALSE
269,11,1,1,1,41,190.4,0.14,6.92,27.5,1318.14,0.06,73.23,11,18,0,11,12,13,26,15,1,FALSE
270,24,7,4,5,93,504.64,0.06,15.65,32.24,7898.75,0.17,438.82,22,0,2,8,20,23,57,36,11,FALSE
271,12,3,3,1,36,152.93,0.13,7.78,19.66,1189.42,0.05,66.08,12,4,0,3,10,9,22,14,5,FALSE
272,3,1,1,1,14,46.51,0.33,3,15.5,139.52,0.02,7.75,1,0,2,0,5,5,8,6,1,FALSE
273,64,8,4,2,260,1565.82,0.03,37.19,42.11,58228.77,0.52,3234.93,62,38,2,19,25,40,141,119,15,FALSE
274,12,3,1,2,58,284.6,0.09,11.09,25.67,3155.71,0.09,175.32,11,0,1,0,13,17,29,29,5,FALSE
275,19,9,6,4,145,786.81,0.04,27.71,28.4,21801.15,0.26,1211.17,19,0,0,2,19,24,75,70,17,FALSE
276,0,2,1,1,12,39.86,0.33,3,13.29,119.59,0.01,6.64,0,0,0,0,6,4,8,4,3,FALSE
277,46,14,9,4,238,1533.42,0.04,22.38,68.52,34316.47,0.51,1906.47,46,8,0,42,25,62,127,111,27,FALSE
278,72,21,1,6,371,2431.75,0.06,16.92,143.69,41152.73,0.81,2286.26,62,16,10,10,16,78,206,165,41,FALSE
279,47,10,9,7,230,1414.44,0.06,15.9,88.97,22487.01,0.47,1249.28,47,15,0,18,17,54,129,101,19,FALSE
280,72,3,1,1,412,2681.21,0.05,19.74,135.85,52918.65,0.89,2939.92,65,5,7,10,15,76,212,200,4,FALSE
281,41,8,3,4,134,784.97,0.06,17.42,45.07,13671.55,0.26,759.53,37,8,4,21,22,36,77,57,14,FALSE
282,6,1,1,1,16,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4,0,2,2,5,4,9,7,1,FALSE
283,6,1,1,1,16,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4,0,2,2,5,4,9,7,1,FALSE
284,9,1,1,1,31,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9,13,0,9,10,9,20,11,1,FALSE
285,12,1,1,1,44,196.21,0.08,12.28,15.98,2409.08,0.07,133.84,12,5,0,7,13,9,27,17,1,FALSE
286,123,27,8,27,388,2707.18,0.02,42.84,63.2,115969.02,0.9,6442.72,122,6,1,30,46,80,239,149,36,FALSE
287,24,4,1,4,109,602.07,0.06,16.14,37.27,9725.72,0.2,540.32,24,1,0,9,20,26,67,42,5,FALSE
288,24,8,3,2,136,660.69,0.02,43.21,15.29,28547.12,0.22,1585.95,24,0,0,0,17,12,75,61,15,FALSE
289,19,5,1,5,111,590.73,0.08,13,45.44,7679.54,0.2,426.64,19,0,0,1,13,27,57,54,9,FALSE
290,15,2,1,2,62,287.92,0.09,11.39,25.27,3280.22,0.1,182.23,15,0,0,2,11,14,33,29,3,FALSE
291,0,2,1,1,12,38.04,0.25,4,9.51,152.16,0.01,8.45,0,0,0,0,6,3,8,4,3,FALSE
292,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE
293,6,4,4,2,35,153.73,0.13,7.7,19.97,1183.73,0.05,65.76,6,0,0,3,11,10,21,14,7,FALSE
294,27,9,9,5,98,494.35,0.08,12.68,39,6265.89,0.16,348.11,27,3,0,11,13,20,59,39,17,FALSE
295,17,5,5,3,61,302.21,0.09,10.78,28.03,3258.16,0.1,181.01,17,3,0,0,15,16,38,23,9,FALSE
296,32,3,1,1,239,1434,0.06,15.4,93.12,22083.6,0.48,1226.87,32,21,0,48,14,50,129,110,5,FALSE
297,32,3,1,1,252,1534.04,0.06,17.85,85.96,27376.73,0.51,1520.93,31,21,1,48,16,52,136,116,5,FALSE
298,63,6,1,4,182,1133.65,0.15,6.87,164.89,7793.81,0.38,432.99,61,50,2,27,11,64,102,80,11,FALSE
299,4,1,1,1,16,59.21,0.24,4.08,14.5,241.76,0.02,13.43,4,0,0,1,7,6,9,7,1,FALSE
300,11,2,1,1,17,53.89,0.25,4,13.47,215.55,0.02,11.98,11,0,0,1,6,3,13,4,3,FALSE
301,7,2,1,2,24,96,0.22,4.5,21.33,432,0.03,24,6,3,1,4,8,8,15,9,3,FALSE
302,25,6,4,2,175,1016.29,0.05,18.95,53.64,19255.97,0.34,1069.78,23,13,2,8,18,38,95,80,11,FALSE
303,4,1,1,1,11,34.87,0.25,4,8.72,139.48,0.01,7.75,4,0,0,0,6,3,7,4,1,FALSE
304,21,7,1,6,139,763.37,0.05,18.48,41.3,14109.14,0.25,783.84,21,0,0,1,16,29,72,67,13,FALSE
305,11,2,1,2,34,141.78,0.16,6.4,22.15,907.38,0.05,50.41,11,0,0,1,8,10,18,16,3,FALSE
306,0,2,1,1,12,38.04,0.25,4,9.51,152.16,0.01,8.45,0,0,0,0,6,3,8,4,3,FALSE
307,66,28,22,17,366,2358.12,0.02,46.25,50.98,109073.64,0.79,6059.65,66,7,0,8,32,55,207,159,52,FALSE
308,40,9,1,5,247,1508.81,0.03,31.25,48.28,47150.17,0.5,2619.45,40,3,0,17,25,44,137,110,17,FALSE
309,42,6,1,3,242,1386.16,0.03,38.68,35.84,53612.97,0.46,2978.5,40,16,2,14,22,31,133,109,11,FALSE
310,16,1,1,1,67,294.29,0.21,4.69,62.78,1379.46,0.1,76.64,16,1,0,2,5,16,37,30,1,FALSE
311,5,2,1,1,18,68.53,0.17,6,11.42,411.19,0.02,22.84,5,1,0,2,8,6,9,9,3,FALSE
312,19,5,5,3,70,346.79,0.09,11.53,30.08,3998.33,0.12,222.13,19,4,0,0,14,17,42,28,9,FALSE
313,28,5,1,5,113,605.4,0.06,17.35,34.89,10506.27,0.2,583.68,28,10,0,6,17,24,64,49,6,FALSE
314,28,5,1,5,113,605.4,0.06,17.35,34.89,10506.27,0.2,583.68,28,10,0,6,17,24,64,49,6,FALSE
315,17,3,1,1,40,180.94,0.11,8.73,20.73,1579.13,0.06,87.73,17,7,0,5,12,11,24,16,5,FALSE
316,9,1,1,1,25,92.51,0.5,2,46.26,185.02,0.03,10.28,9,0,0,2,4,9,16,9,1,FALSE
317,35,7,3,6,167,956.56,0.04,27.98,34.18,26767.81,0.32,1487.1,33,25,2,23,23,30,94,73,13,FALSE
318,6,1,1,1,25,83.05,0.25,4,20.76,332.19,0.03,18.46,6,0,0,1,4,6,13,12,1,FALSE
319,11,1,1,1,86,421.99,0.08,13,32.46,5485.9,0.14,304.77,11,1,0,2,12,18,47,39,1,FALSE
320,42,7,1,7,156,880.44,0.04,24.62,35.76,21677.08,0.29,1204.28,42,7,0,14,21,29,88,68,9,FALSE
321,21,5,3,4,53,246.12,0.07,15,16.41,3691.87,0.08,205.1,21,5,0,9,15,10,33,20,9,FALSE
322,21,7,6,3,70,325.07,0.06,16.25,20,5282.39,0.11,293.47,21,0,0,1,13,12,40,30,13,FALSE
323,0,2,1,1,12,38.04,0.25,4,9.51,152.16,0.01,8.45,0,0,0,0,6,3,8,4,3,FALSE
324,36,15,1,8,193,1094.78,0.04,27.02,40.52,29576.11,0.36,1643.12,36,5,0,4,19,32,102,91,29,FALSE
325,37,8,3,7,250,1561.98,0.04,24.23,64.45,37848.02,0.52,2102.67,37,5,0,18,24,52,145,105,15,FALSE
326,12,4,1,2,55,272.48,0.12,8.31,32.81,2263.1,0.09,125.73,10,1,2,3,13,18,32,23,7,FALSE
327,21,6,4,4,80,419.83,0.06,15.5,27.09,6507.43,0.14,361.52,19,0,2,7,19,19,49,31,10,FALSE
328,10,1,1,1,40,166.8,0.27,3.65,45.65,609.45,0.06,33.86,8,3,2,2,5,13,21,19,1,FALSE
329,13,1,1,1,49,218.51,0.23,4.31,50.67,942.33,0.07,52.35,11,15,2,9,6,16,26,23,1,FALSE
330,23,5,1,5,76,365.36,0.07,13.43,27.2,4907.99,0.12,272.67,23,7,0,10,13,15,45,31,9,FALSE
331,77,11,5,3,153,863.51,0.05,19.55,44.17,16883.11,0.29,937.95,62,12,15,15,21,29,99,54,21,FALSE
332,4,1,1,1,17,53.89,0.31,3.2,16.84,172.44,0.02,9.58,4,0,0,0,4,5,9,8,1,FALSE
333,4,1,1,1,11,34.87,0.32,3.12,11.16,108.97,0.01,6.05,4,0,0,0,5,4,6,5,1,FALSE
334,9,1,1,1,31,114.71,0.05,21.67,5.29,2485.46,0.04,138.08,9,0,0,2,10,3,18,13,1,FALSE
335,0,2,1,1,12,38.04,0.25,4,9.51,152.16,0.01,8.45,0,0,0,0,6,3,8,4,3,FALSE
336,21,9,4,7,94,470,0.04,23.8,19.75,11186,0.16,621.44,18,0,3,2,17,15,52,42,15,FALSE
337,41,9,3,8,290,1833.36,0.04,26.36,69.56,48322.11,0.61,2684.56,41,7,0,19,24,56,167,123,17,FALSE
338,46,9,1,2,161,908.66,0.04,25.98,34.97,23608.35,0.3,1311.58,45,7,1,21,23,27,100,61,10,FALSE
339,4,1,1,1,15,51.89,0.28,3.6,14.41,186.81,0.02,10.38,4,0,0,3,6,5,9,6,1,FALSE
340,3,1,1,1,10,31.7,0.29,3.5,9.06,110.95,0.01,6.16,3,0,0,0,7,2,8,2,1,FALSE
341,12,2,1,1,27,112.59,0.16,6.25,18.01,703.67,0.04,39.09,12,0,0,2,10,8,17,10,3,FALSE
342,40,9,1,5,247,1492.97,0.03,33.54,44.52,50068.96,0.5,2781.61,40,3,0,16,25,41,137,110,17,FALSE
343,9,4,1,4,27,108,0.18,5.5,19.64,594,0.04,33,9,1,0,4,8,8,16,11,7,FALSE
344,12,2,1,2,23,94.01,0.25,4,23.5,376.05,0.03,20.89,12,3,0,2,8,9,14,9,3,FALSE
345,3,1,1,1,12,39.86,0.21,4.67,8.54,186.03,0.01,10.33,3,0,0,0,7,3,8,4,1,FALSE
346,103,19,6,7,716,4670.87,0.02,43.99,106.19,205454.31,1.56,11414.13,101,37,2,31,19,73,378,338,37,FALSE
347,5,2,1,2,20,78.14,0.18,5.71,13.67,446.5,0.03,24.81,5,0,0,1,8,7,10,10,3,FALSE
348,16,4,3,3,69,351.03,0.1,9.9,35.44,3476.92,0.12,193.16,16,2,0,2,13,21,37,32,7,FALSE
349,0,2,1,1,12,39.86,0.33,3,13.29,119.59,0.01,6.64,0,0,0,0,6,4,8,4,3,FALSE
350,8,3,1,3,31,133.98,0.17,6,22.33,803.88,0.04,44.66,8,0,0,1,10,10,19,12,5,FALSE
351,77,14,6,10,555,3763.65,0.02,45,83.64,169364.46,1.25,9409.14,77,9,0,25,30,80,315,240,27,FALSE
352,8,1,1,1,31,124,0.5,2,62,248,0.04,13.78,8,0,0,1,4,12,19,12,1,FALSE
353,15,3,1,2,51,233.83,0.09,10.58,22.11,2473.23,0.08,137.4,13,3,2,6,11,13,26,25,5,FALSE
354,5,1,1,1,12,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,2,7,3,8,4,1,FALSE
355,12,3,3,1,32,135.93,0.12,8.25,16.48,1121.45,0.05,62.3,12,4,0,4,11,8,20,12,5,FALSE
356,44,11,3,8,324,2098.14,0.03,31.21,67.22,65489.41,0.7,3638.3,44,5,0,19,28,61,188,136,21,FALSE
357,4,1,1,1,20,71.7,0.25,4,17.92,286.8,0.02,15.93,4,2,0,2,6,6,12,8,1,FALSE
358,15,3,1,3,41,174.17,0.09,11,15.83,1915.82,0.06,106.43,14,1,1,5,11,8,25,16,5,FALSE
359,52,4,1,1,224,1312.19,0.05,19.73,66.5,25890.47,0.44,1438.36,41,29,11,24,19,39,143,81,7,FALSE
360,4,1,1,1,8,22.46,0.4,2.5,8.98,56.15,0.01,3.12,4,0,0,0,5,2,6,2,1,FALSE
361,12,3,1,3,64,317.07,0.06,16,19.82,5073.1,0.11,281.84,12,0,0,1,16,15,34,30,5,FALSE
362,7,3,3,3,24,98.1,0.2,5.06,19.38,496.63,0.03,27.59,7,1,0,1,9,8,15,9,5,FALSE
363,8,2,1,2,29,116,0.1,10,11.6,1160,0.04,64.44,8,0,0,2,10,6,17,12,3,FALSE
364,28,5,3,4,102,535.29,0.04,24.44,21.9,13084.83,0.18,726.94,28,0,0,6,20,18,58,44,9,FALSE
365,155,26,17,11,604,4287.21,0.02,44.73,95.85,191759.06,1.43,10653.28,143,7,12,101,34,103,333,271,46,FALSE
366,9,2,1,2,37,165,0.14,7.08,23.29,1168.74,0.05,64.93,9,2,0,4,10,12,20,17,3,FALSE
367,3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,1,1,4,3,4,3,1,FALSE
368,31,3,1,1,252,1517.64,0.06,17.4,87.22,26406.88,0.51,1467.05,31,27,0,12,15,50,136,116,5,FALSE
369,3,1,1,1,10,31.7,0.29,3.5,9.06,110.95,0.01,6.16,3,0,0,0,7,2,8,2,1,FALSE
370,49,10,3,10,326,2094.96,0.04,25.56,81.98,53537.93,0.7,2974.33,49,8,0,19,23,63,186,140,19,FALSE
371,37,6,1,2,97,541.74,0.07,13.93,38.89,7545.68,0.18,419.2,37,0,0,4,20,28,58,39,11,FALSE
372,15,2,1,2,60,275.1,0.14,6.9,39.87,1898.17,0.09,105.45,13,7,2,5,9,15,37,23,3,FALSE
373,18,1,1,1,84,416.15,0.11,9.05,46,3765.19,0.14,209.18,18,2,0,8,10,21,46,38,1,FALSE
374,144,36,1,17,1070,7270.02,0.01,87.53,83.06,636348.83,2.42,35352.71,102,24,42,62,29,82,575,495,71,FALSE
375,39,8,1,8,175,977.37,0.04,24.9,39.25,24336.47,0.33,1352.03,39,3,0,5,18,30,92,83,15,FALSE
376,19,8,8,8,85,428.77,0.05,18.35,23.36,7869.25,0.14,437.18,19,1,0,1,16,17,46,39,15,FALSE
377,13,2,1,1,43,188.87,0.14,7.13,26.51,1345.7,0.06,74.76,13,0,0,1,9,12,24,19,3,FALSE
378,89,34,17,15,470,3199.46,0.02,53.33,59.99,170637.7,1.07,9479.87,87,0,2,12,40,72,278,192,55,FALSE
379,70,20,1,19,213,1346.57,0.04,25.62,52.55,34502.44,0.45,1916.8,70,0,0,24,31,49,132,81,22,FALSE
380,21,3,1,3,64,322.84,0.1,9.95,32.45,3211.42,0.11,178.41,21,1,0,3,14,19,37,27,4,FALSE
381,8,1,1,1,19,60.23,0.67,1.5,40.15,90.34,0.02,5.02,8,0,0,1,3,6,13,6,1,FALSE
382,40,6,3,6,273,1735.61,0.03,31.11,55.79,53996.81,0.58,2999.82,40,7,0,18,28,54,153,120,11,FALSE
383,48,3,1,1,284,1815.42,0.07,15.11,120.16,27428.6,0.61,1523.81,46,8,2,13,15,69,145,139,5,FALSE
384,31,3,1,1,252,1517.64,0.06,17.4,87.22,26406.88,0.51,1467.05,31,27,0,11,15,50,136,116,5,FALSE
385,78,12,1,10,281,1728.08,0.03,39.72,43.51,68640.9,0.58,3813.38,76,3,2,16,28,43,159,122,19,FALSE
386,5,1,1,1,12,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,2,7,3,8,4,1,FALSE
387,46,10,3,9,335,2174.77,0.04,27.5,79.08,59806.2,0.72,3322.57,46,7,0,20,25,65,192,143,19,FALSE
388,5,2,1,2,21,85.84,0.13,7.86,10.92,674.43,0.03,37.47,5,0,0,4,10,7,10,11,3,FALSE
389,69,13,7,8,378,2441.67,0.04,26.83,90.99,65518.01,0.81,3639.89,68,34,1,26,22,66,217,161,25,FALSE
390,54,7,1,6,154,894.33,0.05,20.71,43.19,18517.95,0.3,1028.77,52,12,2,12,22,34,90,64,12,FALSE
391,54,5,1,1,507,3543.26,0.04,23.87,148.42,84587.05,1.18,4699.28,54,2,0,19,21,106,266,241,9,FALSE
392,141,36,1,17,1056,7133.16,0.01,89.75,79.48,640223.79,2.38,35567.99,99,24,42,56,29,79,567,489,71,FALSE
393,21,5,5,3,111,582.52,0.04,24,24.27,13980.48,0.19,776.69,21,0,0,1,19,19,63,48,9,FALSE
394,13,3,1,3,45,200.67,0.1,10.5,19.11,2107.08,0.07,117.06,13,1,0,1,11,11,24,21,5,FALSE
395,7,3,1,1,29,113.3,0.1,9.75,11.62,1104.67,0.04,61.37,7,0,0,1,9,6,16,13,5,FALSE
396,10,1,1,1,32,130.8,0.26,3.82,34.26,499.41,0.04,27.75,10,0,0,3,6,11,18,14,1,FALSE
397,41,2,1,2,343,2149.51,0.04,28.31,75.92,60857.94,0.72,3381,41,12,0,14,21,56,192,151,3,FALSE
398,42,6,1,6,221,1401.11,0.12,8.26,169.61,11574.36,0.47,643.02,37,10,5,5,12,69,126,95,11,FALSE
399,16,7,7,3,97,426.05,0.05,22,19.37,9373.21,0.14,520.73,16,2,0,8,11,10,57,40,13,FALSE
400,28,7,5,7,125,694.32,0.06,15.87,43.76,11016.6,0.23,612.03,28,7,0,8,17,30,69,56,13,FALSE
401,31,3,1,1,252,1517.64,0.06,17.4,87.22,26406.88,0.51,1467.05,31,27,0,12,15,50,136,116,5,FALSE
402,5,2,1,2,24,101.95,0.11,9.43,10.81,961.25,0.03,53.4,5,0,0,2,12,7,13,11,3,FALSE
403,8,1,1,1,25,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8,0,0,2,8,7,15,10,1,FALSE
404,32,4,1,4,102,556.86,0.07,13.54,41.14,7538.26,0.19,418.79,31,12,1,6,17,27,59,43,7,FALSE
405,83,15,5,6,558,3537.64,0.02,40.15,88.12,142018.98,1.18,7889.94,83,34,0,24,19,62,296,262,29,FALSE
406,4,1,1,1,8,20.68,0.67,1.5,13.79,31.02,0.01,1.72,4,0,0,5,3,3,5,3,1,FALSE
407,39,8,5,8,134,767.54,0.05,18.7,41.04,14355.42,0.26,797.52,37,0,2,2,21,32,77,57,13,FALSE
408,9,3,1,2,37,157.17,0.07,14.57,10.79,2290.24,0.05,127.24,9,1,0,1,12,7,20,17,5,FALSE
409,5,1,1,1,13,39,0.33,3,13,117,0.01,6.5,5,0,0,0,4,4,7,6,1,FALSE
410,3,3,1,2,32,135.93,0.11,8.89,15.29,1208.3,0.05,67.13,3,0,0,0,10,9,16,16,5,FALSE
411,9,1,1,1,65,322.02,0.11,9.16,35.16,2949.05,0.11,163.84,9,2,0,5,12,19,36,29,1,FALSE
412,31,7,5,4,125,660.68,0.03,32.08,20.59,21196.67,0.22,1177.59,28,19,3,14,21,18,70,55,13,FALSE
413,37,14,5,1,174,817.88,0.03,29.7,27.54,24290.93,0.27,1349.5,36,20,1,16,11,15,93,81,27,FALSE
414,50,10,5,7,351,2300.66,0.03,32.88,69.97,75642.93,0.77,4202.39,50,19,0,22,28,66,196,155,19,FALSE
415,13,1,1,1,70,312.16,0.1,10.38,30.06,3241.66,0.1,180.09,13,0,0,6,9,13,40,30,1,FALSE
416,76,8,1,4,473,2946.23,0.04,26.51,111.14,78099.28,0.98,4338.85,76,13,0,48,14,61,242,231,15,FALSE
417,31,3,1,1,252,1517.64,0.06,17.4,87.22,26406.88,0.51,1467.05,31,27,0,11,15,50,136,116,5,FALSE
418,79,23,1,22,243,1569.64,0.03,28.96,54.19,45461.48,0.52,2525.64,79,0,0,27,34,54,151,92,25,FALSE
419,12,2,1,2,42,201.91,0.13,7.5,26.92,1514.32,0.07,84.13,11,1,1,4,12,16,22,20,3,FALSE
420,5,1,1,1,8,20.68,0.5,2,10.34,41.36,0.01,2.3,5,0,0,1,4,2,6,2,1,FALSE
421,44,6,1,3,182,1052.21,0.05,22.17,47.47,23323.93,0.35,1295.77,43,27,1,11,19,36,98,84,11,FALSE
422,7,2,1,2,20,76.15,0.2,5,15.23,380.74,0.03,21.15,7,2,0,1,7,7,10,10,3,FALSE
423,8,2,1,2,33,149.28,0.1,10.4,14.35,1552.49,0.05,86.25,8,0,0,1,13,10,17,16,3,FALSE
424,14,5,3,3,56,280,0.1,10.11,27.69,2831.11,0.09,157.28,14,1,0,1,14,18,30,26,9,FALSE
425,4,3,3,3,23,85.11,0.15,6.75,12.61,574.49,0.03,31.92,4,0,0,0,9,4,17,6,5,FALSE
426,88,36,15,24,516,3538.72,0.03,29.92,118.25,105895.19,1.18,5883.07,84,1,4,13,23,93,274,242,71,FALSE
427,31,7,5,4,125,669.69,0.03,28.88,23.19,19337.41,0.22,1074.3,26,19,5,19,21,20,70,55,13,FALSE
428,40,7,3,6,167,969.83,0.06,17.53,55.34,16997.52,0.32,944.31,40,16,0,20,18,38,93,74,13,FALSE
429,11,4,1,2,52,244.42,0.07,14,17.46,3421.92,0.08,190.11,9,0,2,5,14,12,28,24,7,FALSE
430,21,6,5,6,110,585.41,0.07,15,39.03,8781.18,0.2,487.84,21,7,0,9,15,25,60,50,11,FALSE
431,28,7,5,7,125,694.32,0.06,15.87,43.76,11016.6,0.23,612.03,28,7,0,8,17,30,69,56,13,FALSE
432,50,3,1,2,440,2856.42,0.04,28,102.01,79979.63,0.95,4443.31,50,13,0,17,20,70,244,196,5,FALSE
433,9,1,1,1,64,276.6,0.17,6,46.1,1659.62,0.09,92.2,9,9,0,7,6,14,36,28,1,FALSE
434,33,6,5,4,108,609.54,0.11,9.14,66.7,5570.49,0.2,309.47,33,4,0,8,14,36,61,47,11,FALSE
435,21,2,1,2,99,515.74,0.07,14.48,35.63,7465.89,0.17,414.77,21,3,0,8,16,21,61,38,3,FALSE
436,106,48,1,2,1007,5430.06,0.01,115.43,47.04,626797.86,1.81,34822.1,103,0,3,1,13,29,492,515,95,FALSE
437,6,2,1,1,21,77.71,0.07,15,5.18,1165.64,0.03,64.76,6,1,0,0,10,3,12,9,3,FALSE
438,12,4,1,1,48,220.08,0.1,10.05,21.91,2210.79,0.07,122.82,12,0,0,1,13,11,31,17,7,FALSE
439,6,1,1,1,10,30,0.22,4.5,6.67,135,0.01,7.5,6,0,0,2,6,2,7,3,1,FALSE
440,50,20,12,7,307,1813.42,0.01,70.29,25.8,127457.2,0.6,7080.96,50,6,0,4,32,28,184,123,37,FALSE
441,31,7,5,4,125,665.24,0.03,30.39,21.89,20219.83,0.22,1123.32,27,21,4,19,21,19,70,55,13,FALSE
442,49,1,1,1,283,1628.63,0.18,5.64,288.76,9185.49,0.54,510.31,46,4,3,5,4,50,142,141,1,FALSE
